1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,82.32,5.78,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1873.10,4.19,0.33,0.46,12.27,1873.79,5.50,76.89,5.96,8.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,76.51,6.20,8.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,81.75,6.10,8.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,84.86,6.01,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,87.41,6.01,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,86.13,6.01,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,85.07,6.10,8.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,83.51,6.15,8.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,85.15,6.30,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,84.46,6.25,8.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,85.34,6.30,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,86.67,6.30,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.10,4.53,0.33,0.46,11.61,1874.79,5.17,87.90,6.40,8.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,89.41,6.46,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,88.82,6.46,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,88.82,6.41,8.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,88.63,6.36,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,89.80,6.31,8.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,90.23,6.21,8.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,88.92,6.32,8.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,88.62,6.37,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,88.82,6.32,8.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,88.47,6.22,7.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,88.42,6.22,7.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1875.10,4.30,0.31,0.38,11.13,1875.79,4.71,87.00,6.17,7.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
